user_id,journey_id,plug_in_date,plug_in_time,departure_date,departure_time,distance,user_type
1_9_5,ef5fca98831440d5bf436ff0fd137585,2022/08/08,17:47,2022/08/09,08:42,14,9_5
2_9_5,fe20ec91b36740dc8c6172509c94aaea,2022/08/08,17:49,2022/08/09,08:20,40,9_5
3_9_5,1b7c0c587b7b4fdbba8766ed9383d531,2022/08/08,17:04,2022/08/09,08:55,6,9_5
4_9_5,19a4067e33764e878f53fdddeeff1111,2022/08/08,17:47,2022/08/09,08:16,33,9_5
5_9_5,6aa32598b6bb4edb83a845f5931523a4,2022/08/08,17:10,2022/08/09,08:33,21,9_5
6_9_5,1ee2be8dcca944259bfdd3904951cb59,2022/08/08,17:22,2022/08/09,08:53,6,9_5
1_9_5,672632ca3ac4454a9ef43d3e5c139fb3,2022/08/09,17:22,2022/08/10,08:00,47,9_5
2_9_5,b8b2a9d3db2d4753b89d3d665b897955,2022/08/09,17:02,2022/08/10,08:16,38,9_5
3_9_5,087ef44ee39845318e763485eaa9f25f,2022/08/09,17:02,2022/08/10,08:11,44,9_5
4_9_5,99286cbd91344b33ba6d63705e80f522,2022/08/09,17:18,2022/08/10,08:55,5,9_5
5_9_5,b8cc722a0cac4d8a9528f3888733e266,2022/08/09,17:46,2022/08/10,08:47,12,9_5
6_9_5,c04cc6a2797f4e64b47839f4c0431aaf,2022/08/09,17:10,2022/08/10,08:37,22,9_5
1_9_5,be993db0c1b94a40807fc190a835532c,2022/08/10,17:05,2022/08/11,08:43,17,9_5
2_9_5,d9354c0cdcf74bcc8e4174b356ef33c8,2022/08/10,17:58,2022/08/11,08:34,21,9_5
3_9_5,63d8bf3fa8ff4325b6de9a845c703f7b,2022/08/10,17:34,2022/08/11,08:41,18,9_5
4_9_5,d96333250cf74862ad041b3d0d3c7de5,2022/08/10,17:33,2022/08/11,08:16,32,9_5
5_9_5,1719f3470fb04a9baaac856834f21e86,2022/08/10,17:52,2022/08/11,08:41,20,9_5
6_9_5,7564be3474d648f5b0581a716cd9429f,2022/08/10,17:30,2022/08/11,08:38,19,9_5
1_9_5,60bd0f6d8d7f41b3ab4eee8a7521541f,2022/08/11,17:42,2022/08/12,08:56,5,9_5
2_9_5,8733bf5411634510a0baa3a0583e1b8d,2022/08/11,17:16,2022/08/12,08:25,34,9_5
3_9_5,ea7c3f728a25405395b789be95c02ab8,2022/08/11,17:22,2022/08/12,08:28,26,9_5
4_9_5,6e66139b2a06470190b5c0791f02d605,2022/08/11,17:16,2022/08/12,08:22,32,9_5
5_9_5,e0346005ff6f489a95eaf966fa8fb06e,2022/08/11,17:09,2022/08/12,08:30,29,9_5
6_9_5,8bcd24cfec2e49f19063654944f54a66,2022/08/11,17:46,2022/08/12,08:26,35,9_5
1_9_5,37315f27803d483b9159aa289cf6e196,2022/08/12,17:19,2022/08/13,08:27,30,9_5
2_9_5,01dcfc7870be473cb5b0d7cfbe894ea5,2022/08/12,17:03,2022/08/13,08:46,14,9_5
3_9_5,1d9ca426b81540618b4a46a9dc9eba8a,2022/08/12,17:10,2022/08/13,08:58,3,9_5
4_9_5,2d192bcba94745eab4a2097f56e45bc2,2022/08/12,17:45,2022/08/13,08:57,4,9_5
5_9_5,0ecb1647fe394c41afcbca9eb683d25c,2022/08/12,17:30,2022/08/13,08:15,43,9_5
6_9_5,00353f22c9684f40a7f328778cf1ecc6,2022/08/12,17:14,2022/08/13,08:02,40,9_5
1_9_5,f4ae2956ffa7456f9752474a111f643f,2022/08/13,17:45,2022/08/14,08:20,31,9_5
2_9_5,c64cceebe5bd42ca9ab319e5fd26fa58,2022/08/13,17:27,2022/08/14,08:13,40,9_5
3_9_5,9ed2c1f396fc455192fe491134d07aad,2022/08/13,17:01,2022/08/14,08:14,42,9_5
4_9_5,982d53dca89d448ab5748d2f6e2b9a51,2022/08/13,17:54,2022/08/14,08:49,12,9_5
5_9_5,b2c1eda421484ff6ad0af9166d1111d6,2022/08/13,17:30,2022/08/14,08:45,15,9_5
6_9_5,d20c5f9c522b436181f7423f6a06c676,2022/08/13,17:11,2022/08/14,08:05,42,9_5
1_9_5,87239c9410e84654ab3503b3344bf681,2022/08/14,17:17,2022/08/15,08:43,15,9_5
2_9_5,1a651aefd3114b0b9508529d7f9bb127,2022/08/14,18:00,2022/08/15,08:26,26,9_5
3_9_5,ba411b941c0149f19ae3e68b137d50a5,2022/08/14,17:04,2022/08/15,08:09,48,9_5
4_9_5,67e62580e715426cbed25b4d37e7492d,2022/08/14,17:25,2022/08/15,08:45,11,9_5
5_9_5,08809205502b44838c862ca612d873d5,2022/08/14,18:00,2022/08/15,08:05,47,9_5
6_9_5,eb3d7826e34c4be38117679daa6e4c2f,2022/08/14,17:56,2022/08/15,08:34,21,9_5
1_nurse,642bdd401e384da485698f20ca77ca99,2022/08/08,08:52,2022/08/08,23:34,20,nurse
2_nurse,fd39efb4fa0941b786ef7af6166640e1,2022/08/08,08:04,2022/08/08,23:52,8,nurse
3_nurse,a171a91e051a4cdcaadaceed792064a5,2022/08/08,08:40,2022/08/08,23:11,41,nurse
1_nurse,0bdc6a1c69d546f89411160ce44923f4,2022/08/09,08:42,2022/08/09,23:27,26,nurse
2_nurse,7670c1e415eb4fb88eccf3105db7b019,2022/08/09,08:03,2022/08/09,23:58,3,nurse
3_nurse,61370d38ce2f458b8adb1a883bf1ee2c,2022/08/09,08:56,2022/08/09,23:10,45,nurse
1_nurse,02977e93c4434083a6008a632614770f,2022/08/10,08:50,2022/08/10,23:12,43,nurse
2_nurse,7bf90bdff38747959954a2fa15bd1840,2022/08/10,08:50,2022/08/10,23:38,20,nurse
3_nurse,167ea14449614bd89b9da5f5db80774e,2022/08/10,08:05,2022/08/10,23:16,40,nurse
1_nurse,4295e812ad5749249860012075711983,2022/08/11,08:46,2022/08/11,23:18,37,nurse
2_nurse,35a049f783a54ef9867cbd1bf4104b23,2022/08/11,08:54,2022/08/11,23:35,20,nurse
3_nurse,cb56cdcd41d34217a1390e63ee3195b5,2022/08/11,08:53,2022/08/11,23:21,29,nurse
4_nurse,8a3f2143a60a48cfb707889622019808,2022/08/08,17:56,2022/08/09,08:02,40,nurse
5_nurse,083e9fab39f240abad1e3c86acf67122,2022/08/08,17:52,2022/08/09,08:00,52,nurse
6_nurse,84ee133a6952489a970a3decb86788e0,2022/08/08,17:45,2022/08/09,08:57,4,nurse
4_nurse,bf56feee901847ed8f08cde45ec2e697,2022/08/09,17:27,2022/08/10,08:09,52,nurse
5_nurse,fad9b448b1e5454e851b71145270cda3,2022/08/09,17:19,2022/08/10,08:32,29,nurse
6_nurse,1f6c87ea1fcb4dd9a8acbf27522c1731,2022/08/09,17:56,2022/08/10,08:25,28,nurse
4_nurse,b551a55a587a4258927896917899dd2e,2022/08/10,17:21,2022/08/11,08:41,14,nurse
5_nurse,9c518856127c406191bf10ab349b964c,2022/08/10,17:27,2022/08/11,08:50,9,nurse
6_nurse,50068b2474ed4b4f86b15a7e5ddbec34,2022/08/10,17:19,2022/08/11,08:22,34,nurse
4_nurse,4bc6b4ac626f458b82ec6a3b2d43c778,2022/08/11,17:37,2022/08/12,08:52,8,nurse
5_nurse,37508c8b484a401db370f48c8ae7e49c,2022/08/11,17:03,2022/08/12,08:14,32,nurse
6_nurse,196707e132e14a0c89a3c2296c1692bf,2022/08/11,17:37,2022/08/12,08:43,13,nurse
4_nurse,eaaeb0987f244701b3df4dcd41bb6fc4,2022/08/15,08:08,2022/08/15,23:09,35,nurse
5_nurse,7a9d30e5ff844c8b8b4383d7abc43f85,2022/08/15,08:18,2022/08/15,23:42,18,nurse
6_nurse,4ed978b9654a4a3f9b4def97cbcea3fe,2022/08/15,08:44,2022/08/15,23:46,11,nurse
4_nurse,10155cec32294d5e921df222e8cf1aa5,2022/08/16,08:02,2022/08/16,23:33,26,nurse
5_nurse,d547c98e300c4d4eb0daed06706700b0,2022/08/16,08:07,2022/08/16,23:51,8,nurse
6_nurse,81563f21f02849f9954764960775b5aa,2022/08/16,08:57,2022/08/16,23:16,38,nurse
4_nurse,94a60fb84dea454598826121325e8f33,2022/08/17,08:45,2022/08/17,23:22,30,nurse
5_nurse,be1fda97a78545dd834d3866bbcbf909,2022/08/17,08:36,2022/08/17,23:47,10,nurse
6_nurse,65f3851db329411cb92d6eaa674d0acc,2022/08/17,09:00,2022/08/17,23:08,37,nurse
1_nurse,d29c06f13d9e4827aa32e523f2c972d3,2022/08/15,17:08,2022/08/16,08:19,41,nurse
2_nurse,36ad56c3151f4069af2bcacd6ba966ce,2022/08/15,17:53,2022/08/16,08:03,40,nurse
3_nurse,941ee961d3c44f1cbd0bd120d26e7630,2022/08/15,17:27,2022/08/16,08:33,19,nurse
1_nurse,77b5698f23fc45289375f479e05246aa,2022/08/16,17:52,2022/08/17,08:18,30,nurse
2_nurse,265d55c6d0724f1c80016162438d0516,2022/08/16,17:42,2022/08/17,08:08,49,nurse
3_nurse,f29bd7602f264e68a42ca5370cfb2c48,2022/08/16,17:10,2022/08/17,08:14,43,nurse
1_nurse,bb9609f12c2f43dbbe026e41257afee3,2022/08/17,17:34,2022/08/18,08:59,2,nurse
2_nurse,fe76f60b8ef34f9eba341e193ec7a4f7,2022/08/17,17:29,2022/08/18,08:37,20,nurse
3_nurse,fd339a5fd196475abe99a23f1ddfe98d,2022/08/17,17:52,2022/08/18,08:45,14,nurse
