user_id,journey_id,plug_in_date,plug_in_time,departure_date,departure_time,distance,user_type
1_9_5,1abdf362b54f49a6bbac5b06ce7f4473,2022/08/08,17:08,2022/08/09,08:02,51,9_5
2_9_5,1992dcb78d4a4cf5aade50019afd1032,2022/08/08,17:56,2022/08/09,08:16,41,9_5
3_9_5,f5d5e52c12784de9a03d23c616a666a1,2022/08/08,17:17,2022/08/09,08:20,41,9_5
4_9_5,b634016478d34c22931e38c20cd0fb23,2022/08/08,17:28,2022/08/09,09:00,1,9_5
5_9_5,3174e46d907d4c34802ccb7d14147730,2022/08/08,17:18,2022/08/09,08:28,30,9_5
6_9_5,25a4b7777e2c4c50a3c1847f3c1a51d8,2022/08/08,17:51,2022/08/09,08:57,4,9_5
1_9_5,19e49e7c244647c5b08e71e8c8ae5913,2022/08/09,17:43,2022/08/10,08:51,8,9_5
2_9_5,eaf78f15af064997bbf3cfd163ddec95,2022/08/09,17:56,2022/08/10,08:08,49,9_5
3_9_5,752666ecd8ef4b7b9420b1ba6272bdbf,2022/08/09,17:49,2022/08/10,08:14,43,9_5
4_9_5,921737ef8c8d4101949717b7005ac65c,2022/08/09,17:33,2022/08/10,08:04,44,9_5
5_9_5,61e6cdbab01f43818612827615372403,2022/08/09,17:22,2022/08/10,08:31,23,9_5
6_9_5,abdbc1f916414ebdac4b617fd695ee91,2022/08/09,17:34,2022/08/10,08:11,37,9_5
1_9_5,385d9888ab99457ea132fbb1087bf846,2022/08/10,17:15,2022/08/11,08:21,29,9_5
2_9_5,87a8aee8b43c41d8a0cd473633c2ecca,2022/08/10,17:16,2022/08/11,08:44,14,9_5
3_9_5,e0eaade257b84643aa585a8802854e91,2022/08/10,17:28,2022/08/11,08:39,21,9_5
4_9_5,db36b66f89914c4bb2f838703f575925,2022/08/10,17:05,2022/08/11,08:49,11,9_5
5_9_5,81c4ecf1d22c4aee9a2cb7ef1e042806,2022/08/10,17:36,2022/08/11,08:28,29,9_5
6_9_5,ec428a35798348309b68348746753c44,2022/08/10,17:39,2022/08/11,08:09,53,9_5
1_9_5,9b75b45fae7948c18e21d3e776065acf,2022/08/11,17:18,2022/08/12,08:45,15,9_5
2_9_5,e0dda9ea43c1425e9d4acd7c74071ba0,2022/08/11,17:42,2022/08/12,08:47,13,9_5
3_9_5,cfc2284208c9492f9e1f974c2a7b3dc1,2022/08/11,17:24,2022/08/12,08:07,41,9_5
4_9_5,752fa9a462874cbfa2360db7fdf4adc1,2022/08/11,17:54,2022/08/12,08:02,59,9_5
5_9_5,3d0a37b249aa4628b0b65d2a15e08540,2022/08/11,17:36,2022/08/12,08:11,38,9_5
6_9_5,0b7478000eac49a4aea82bc9844c0f2f,2022/08/11,17:44,2022/08/12,08:33,28,9_5
1_9_5,bf5a5a61c0fe48bc881184b9b0fbfdc1,2022/08/12,17:08,2022/08/13,08:05,50,9_5
2_9_5,f33c95aa0b804267bc35761337dff549,2022/08/12,17:36,2022/08/13,08:45,12,9_5
3_9_5,fb32b1a815d24b3981fb335b175ddd76,2022/08/12,17:47,2022/08/13,08:03,56,9_5
4_9_5,b47fc884cc2b47288231c517f7eb9149,2022/08/12,17:48,2022/08/13,08:31,24,9_5
5_9_5,1d8fd73539104975a550eaa6b069cb6f,2022/08/12,17:34,2022/08/13,08:02,59,9_5
6_9_5,c20ee46408bc4d82a802516f7e975cf8,2022/08/12,17:58,2022/08/13,08:08,39,9_5
1_9_5,76f4a0ec32704346b30057dcf625eaf2,2022/08/13,17:14,2022/08/14,08:21,37,9_5
2_9_5,fa0b740de2a64c5789565bcf719939dc,2022/08/13,17:00,2022/08/14,08:03,40,9_5
3_9_5,0ba03efe601c427996ccf743d8a11eef,2022/08/13,17:51,2022/08/14,08:12,47,9_5
4_9_5,f19b2dae0c8f446ebc4b13daf669d200,2022/08/13,17:11,2022/08/14,08:25,29,9_5
5_9_5,038d11a80e194dbe84d7bc47e5d75ec3,2022/08/13,17:32,2022/08/14,08:07,42,9_5
6_9_5,36a43a6250864f138afbe1f36b56e5ed,2022/08/13,17:25,2022/08/14,08:20,38,9_5
1_9_5,9ffa0593c52a4572be05228d9645fdc8,2022/08/14,17:57,2022/08/15,08:50,10,9_5
2_9_5,c5f6c743e83d4f78af12b1b5f2b65b71,2022/08/14,18:00,2022/08/15,08:19,36,9_5
3_9_5,441029b7f7204c6ab41409ad96f875b4,2022/08/14,17:32,2022/08/15,08:26,26,9_5
4_9_5,350eeff8051d4d6d9e8cfcc9ae233e42,2022/08/14,17:47,2022/08/15,08:03,55,9_5
5_9_5,936e65aa233e4389a3aa40c5e14002f4,2022/08/14,17:34,2022/08/15,08:09,40,9_5
6_9_5,80da16beac6e4920b8109ff2ab4673e5,2022/08/14,17:43,2022/08/15,08:46,13,9_5
1_nurse,1429c1e888b645ad8c972aea3c3faefa,2022/08/08,08:21,2022/08/08,23:32,24,nurse
2_nurse,a5a124fca33e4c8e89efc0b49cd69c0b,2022/08/08,08:57,2022/08/08,23:01,51,nurse
3_nurse,977194f00b0640ebb1141a8ebd181d95,2022/08/08,08:23,2022/08/08,23:14,47,nurse
1_nurse,2340b8e8386749ca8f5f6abe090f1058,2022/08/09,08:42,2022/08/09,23:54,6,nurse
2_nurse,fe39d25fa5f94521863048bb7e2c2439,2022/08/09,09:01,2022/08/09,23:04,55,nurse
3_nurse,07e230eaebc340a790f0ec5e4ff0a9b8,2022/08/09,08:56,2022/08/09,23:26,31,nurse
1_nurse,caa26203dc8341328c26d5440fae3577,2022/08/10,08:25,2022/08/10,23:30,25,nurse
2_nurse,545f8e49ef9e4e69a1ec2f3617660abd,2022/08/10,08:19,2022/08/10,23:21,32,nurse
3_nurse,23a976c8baed4343bc5bd47636cdab2f,2022/08/10,08:20,2022/08/10,23:51,10,nurse
1_nurse,24e3f1c0a14940dd889c7b12fb2605c6,2022/08/11,08:15,2022/08/11,23:16,40,nurse
2_nurse,8c10e5cb42124c8c99f68ef73d6b46cb,2022/08/11,08:34,2022/08/11,23:11,41,nurse
3_nurse,91ba02cde3bf476292ce3985033ffd2c,2022/08/11,08:04,2022/08/11,23:26,32,nurse
4_nurse,5bc30971569545ccbe1d5fa99819f1ef,2022/08/08,17:19,2022/08/09,08:02,58,nurse
5_nurse,d81341e934e8405aa25f65eacefe694c,2022/08/08,17:30,2022/08/09,08:22,33,nurse
6_nurse,af5f77f031b844a3bba87022c68c2cee,2022/08/08,17:47,2022/08/09,08:19,39,nurse
4_nurse,43bbee73e4c64d978e3508b18abfbef0,2022/08/09,17:24,2022/08/10,08:51,9,nurse
5_nurse,d95a915513ab4ac5b5a067287a2cdd2f,2022/08/09,17:31,2022/08/10,08:12,47,nurse
6_nurse,4eae831444b444829e633774574187f6,2022/08/09,17:56,2022/08/10,08:08,48,nurse
4_nurse,80f0dfa873d44825b47aa97d11381112,2022/08/10,17:06,2022/08/11,08:46,12,nurse
5_nurse,06ca8b9d9c0546feb5f329910cda6b1f,2022/08/10,17:19,2022/08/11,08:53,7,nurse
6_nurse,febceb3536d44eb3bb3fb59c4957edc9,2022/08/10,17:01,2022/08/11,08:04,48,nurse
