user_id,journey_id,plug_in_date,plug_in_time,departure_date,departure_time,distance,user_type
1_9_5,54c7ff3c668e406dbaaec5ac8b253da0,2022/08/08,18:00,2022/08/08,20:03,39,9_5
1_9_5,daf8a62fb86a444284fac3ced82e6d28,2022/08/09,00:31,2022/08/09,08:10,23,9_5
2_9_5,4575969541634c48854d416c2ceeb459,2022/08/08,17:49,2022/08/08,20:57,4,9_5
2_9_5,a08f5379e9b340ff84017fea7846661a,2022/08/09,00:49,2022/08/09,10:02,27,9_5
3_9_5,a314fc96266049929973e0cffe441fc0,2022/08/08,17:35,2022/08/08,20:58,3,9_5
3_9_5,74ab47b629b0490b84e06cb3ad595451,2022/08/08,23:59,2022/08/09,08:58,23,9_5
4_9_5,8f0520df2e9c4e24b52e643302eb1e4d,2022/08/08,17:41,2022/08/08,21:19,34,9_5
4_9_5,233cafc588e54108a1395078c3ed770e,2022/08/09,01:27,2022/08/09,10:11,34,9_5
5_9_5,7f4fa83cfe704164a0026a91753730f1,2022/08/08,17:00,2022/08/08,19:53,8,9_5
5_9_5,5b9bc9a7246b4cea8dabc841761e851a,2022/08/08,23:03,2022/08/09,07:50,34,9_5
6_9_5,e7848827b8654a9d81e5d00d24cd1e76,2022/08/08,17:18,2022/08/08,21:08,52,9_5
6_9_5,53fa7f5d0eb44706afcea283b55714e3,2022/08/09,00:47,2022/08/09,09:23,14,9_5
1_9_5,c73e4b974cd54e9a9ccaf0c388422175,2022/08/09,18:01,2022/08/09,19:42,16,9_5
1_9_5,7bbf8dc9ed44495985c3f3053ca86fe7,2022/08/09,22:13,2022/08/10,06:41,25,9_5
2_9_5,1e228dc934794ec99355f8623709f156,2022/08/09,17:02,2022/08/09,19:50,8,9_5
2_9_5,e4d69a5b721042569d55102b0450a871,2022/08/09,21:50,2022/08/10,07:20,1,9_5
3_9_5,1dda113d7e1249a88fe54c3b66f663f0,2022/08/09,17:48,2022/08/09,21:41,16,9_5
3_9_5,7c2d7dcd959744dfa314e4676db7fe9b,2022/08/09,23:57,2022/08/10,08:19,44,9_5
4_9_5,9a6cdc5baade460ea8c5516f8b66ede0,2022/08/09,17:15,2022/08/09,21:18,40,9_5
4_9_5,9a491617119147f7b49feb67fdd67ee8,2022/08/09,22:53,2022/08/10,08:05,31,9_5
5_9_5,f0b5dada2cd740ed831fad2bfcd983e6,2022/08/09,17:25,2022/08/09,21:05,42,9_5
5_9_5,7cc7ad345b044b3bb4217913325fc8d1,2022/08/09,23:28,2022/08/10,08:08,24,9_5
6_9_5,7ac3f26103324cadb4a2a4d93e04d606,2022/08/09,17:48,2022/08/09,20:13,44,9_5
6_9_5,36ee9a2b29244394b0d3ac531bf835fa,2022/08/09,23:58,2022/08/10,09:03,39,9_5
1_9_5,782da05e58ec43019ef1f7dbcf21e999,2022/08/10,17:18,2022/08/10,19:48,10,9_5
1_9_5,1132ec1936af4c7e866d1f4d3947befc,2022/08/10,22:25,2022/08/11,07:11,7,9_5
2_9_5,0c672b6f16134d119ab7c71b14aa1777,2022/08/10,17:18,2022/08/10,20:27,31,9_5
