user_id,journey_ids,plug_in_time,departure_time,time_slot,carbon_emission,avg_carbon_emission,avg_priority_carbon_emission,total_demand,charging_duration,user_type
,,,,,,,,,,
12_nurse,"['795db98193c54bad8d0d7e3945cb2b28', '70dd892021be4322b086cfe801643536', 'f3f4a5dfc71d4d9eb869ad8e24ef1011']",2022-08-09 21:33,2022-08-10 08:11,2022-08-09 21:33 ~ 2022-08-09 22:00,109.8,4.066666666666666,36.6,23.7,27.0,nurse
,,,,,,,,,,
12_nurse,"['dd8179948a624524b831c7b03d6c07dc', '95145491f13840138c4571e9ba74d65c', '04c4bb360d04425a911fd8df71349f13']",2022-08-13 04:28,2022-08-13 12:13,2022-08-13 04:28 ~ 2022-08-13 05:06,165.4333333333333,4.353508771929824,55.14444444444444,27.6,38.0,nurse
12_nurse,"['cde19a4cb6ec478e8e73f3dd55cef1c1', '8b633d7441cb4cd2b9961e8f0ca05d3b']",2022-08-14 21:58,2022-08-15 01:58,2022-08-14 21:58 ~ 2022-08-14 22:34,161.96666666666667,4.499074074074074,80.98333333333333,21.9,36.0,nurse
9_5_9,"['07f43492d3cc4f7f9505b655468fa649', '6984277817a142a7b4ea295091e61c87', '281873cba2df4ec9ab534c6d40eb0d6b']",2022-08-08 05:29,2022-08-08 09:29,2022-08-08 05:29 ~ 2022-08-08 06:22,222.56666666666666,4.19937106918239,74.18888888888888,32.4,53.0,5_9
9_5_9,"['99f30eb45a514b9c903b814906019daa', '00ff63cff38c4ac9addcc6b9dc176cb2', '8abe352a87664ae69fc1ed331573d669']",2022-08-09 12:19,2022-08-09 20:22,2022-08-09 12:19 ~ 2022-08-09 13:13,165.08333333333334,3.057098765432099,55.02777777777778,32.7,54.0,5_9
9_5_9,"['a11a42258cd94b97a6fc005aa674cec0', 'd136733e9e8f44a9965901f0ad82e6cd', 'ccc3aeff791748bdaa80c3511ee49194']",2022-08-11 05:22,2022-08-11 07:22,2022-08-11 05:22 ~ 2022-08-11 05:53,141.05,4.550000000000001,47.01666666666667,25.2,31.0,5_9
9_5_9,"['2c212a0832604b9283c04a296e699b96', '0d486a12171b4a64b9ac8ed7dfd81a13', '97613dd18e5c472fa1922d87f83f1946']",2022-08-12 11:30,2022-08-12 20:09,2022-08-12 11:30 ~ 2022-08-12 11:51,73.15,3.4833333333333334,24.383333333333336,21.9,21.0,5_9
,,,,,,,,,,
3_nurse,"['53d7884a8e40408d9940dbc56ad32d1f', '1937c8ea3f8b4ae08d83a79447d5661c', '6eb79a9877b04fb5a2cb107bf8b208a3']",2022-08-08 09:24,2022-08-08 11:24,2022-08-08 09:24 ~ 2022-08-08 09:55,112.2,3.6193548387096777,37.4,25.2,31.0,nurse
3_nurse,"['74c675dbaaa144bb9dd6dd38240e1011', '086696a3dfb2445e95a23b3f736f0292', '7cc9e906ddc945cb9ce4c11743583d05']",2022-08-09 14:01,2022-08-10 00:24,2022-08-09 14:01 ~ 2022-08-09 15:01,187.2166666666667,3.1202777777777784,62.405555555555566,34.8,60.0,nurse
3_nurse,"['4338f14fb09640118cc36a371c1e34e7', 'd3c4809f041f4faeacc058ab76564f10', 'e6a6917960b1413489273fbcd837af22']",2022-08-11 09:41,2022-08-11 13:41,2022-08-11 09:41 ~ 2022-08-11 10:25,161.98333333333335,3.681439393939394,53.99444444444445,29.4,44.0,nurse
